category,classification,comments,dec,flux,id,pos_err,ra,ref_flux,simbad_name,src_type,tags,detail_url
Unverified,Unverified,,-36.67190727008835,1.0986069200000001e-11,402565,0.05476890967622106,322.66158417687217,,WXT J213039-364019,source,['known_source'],
Unverified,Unverified,,0.36937641088043827,1.3301475e-11,412989,0.049655700397629496,243.7781906669188,,WXT J161507+002210,source,['known_source'],
Unverified,Unverified,,-13.985146314375383,7.621032e-12,402816,0.04564082515895155,288.99419789366715,,WXT J191558-135906,source,['known_source'],
Unverified,Unverified,,-18.82543793597315,1.0564098e-11,411839,0.04114114890585301,26.619765293030188,,WXT J014629-184932,source,['known_source'],
Unverified,Unverified,,6.988865874214874,8.3257854e-12,500088,0.039444416187486196,341.5576206731592,,WXT J224613+065919,source,['known_source'],
Unverified,Unverified,,0.3419748770921658,1.6124918e-11,403260,0.04613529667971557,293.93867884433166,,WXT J193545+002031,source,['known_source'],
Unverified,Unverified,,4.4556665686728,1.1122625400000001e-11,393447,0.05460114224423135,286.7897596612018,,WXT J190710+042720,source,['known_source'],
Unverified,Unverified,,0.1679452887904163,1.6478996e-11,403199,0.04902227903955293,253.85513709373012,,WXT J165525+001005,source,['known_source'],
Unverified,Unverified,,24.952191781535003,1.6689686e-11,403255,0.037313933068282686,278.28000649779835,,WXT J183307+245708,source,['known_source'],
Unverified,Unverified,,-46.99890057681707,1.6339062000000003e-11,403173,0.04708051822861076,282.00738382492375,,WXT J184802-465956,source,['known_source'],
Unverified,Unverified,,-47.648409347505705,1.33154914e-11,403027,0.049708013802593556,323.81988202280684,,WXT J213517-473854,source,['known_source'],
Unverified,Unverified,,-5.372632117297739,8.6702434e-12,273890,0.04526590692434006,143.92670740416918,,EP J093542-052221,source,['known_source'],
Unverified,Unverified,,0.7690577336988021,1.0520676e-11,403202,0.04486562940573864,275.39601170199677,,WXT J182135+004609,source,['known_source'],
Unverified,Unverified,,-30.68033914091785,1.4718858000000002e-11,403140,0.04770895937352048,219.8256684368538,,WXT J143918-304049,source,['known_source'],
Unverified,Unverified,,-51.10213731558091,1.3350443000000002e-11,403035,0.054323773351834914,331.53390524697284,,WXT J220608-510607,source,['known_source'],
Unverified,Unverified,,67.4775311256272,1.08724292e-11,558319,0.044025555593114954,122.70918114644104,,WXT J081050+672841,source,['known_source'],
Unverified,Unverified,,-25.31494808530646,2.2745098e-11,403122,0.047802379496164955,254.80043060496817,,WXT J165912-251854,source,['known_source'],
Cluster of Galaxies,Cluster of Galaxies,,-42.7275,2.8773532e-11,194602,0.015518267572454999,348.49375,5.36e-12,ACO S 1101,source,['known_source'],
Unverified,Unverified,,-9.044948443025797,1.51140672e-11,403223,0.05066713882192694,303.80207324986833,,WXT J201512-090242,source,['known_source'],
Unverified,Unverified,,14.799915411907842,1.23491706e-11,402997,0.04479311200944976,293.4629201930782,,WXT J193351+144800,source,['known_source'],
Unverified,Unverified,,-44.90211019353071,1.349656e-11,403030,0.05014646744451581,270.75322541405046,,WXT J180301-445408,source,['known_source'],
Unverified,Unverified,,-56.82861740932487,1.3358950600000001e-11,403143,0.04916575514171478,301.77945282935855,,WXT J200707-564943,source,['known_source'],
Unverified,Unverified,,-75.7542005367819,1.3642442e-11,403244,0.04633754938179611,228.43021577291398,,WXT J151343-754515,source,['known_source'],
Unverified,Unverified,,-82.02495185484881,1.0213893000000001e-11,403218,0.04609842387846108,204.06689332171283,,WXT J133616-820130,source,['known_source'],
Unverified,Unverified,,-62.291883233829125,1.9465124e-11,403220,0.05265015151566988,75.2528379788491,,WXT J050101-621731,source,['known_source'],
Unclassified,Unclassified,,-7.704162447234894,1.7202104e-11,347053,0.04126722655235937,171.40711792536644,,1eRASS J112552.0-074219,source,['known_source'],
,,,-30.01154799399036,4.4840820000000005e-11,387529,0.042138966764804026,227.30392985196914,,EP J1509-3001,source,['known_source'],
Unverified,Unverified,,49.55451982501452,1.7284914e-11,409832,0.04449217282815115,287.4539569977455,5.01e-12,WXT J190949+493316,source,['known_source'],
Unverified,Unverified,,39.388321565599135,1.1537368e-11,410259,0.0512162774533994,310.95036390647834,,WXT J204348+392318,source,['known_source'],
Unclassified,Unclassified,,-75.6256,1.2680889400000002e-12,195386,0.004948863194868564,7.0567,2.43e-12,1RXS J002813.6-753732,source,['known_source'],
Unverified,Unverified,,-5.869742003499274,2.1265286000000004e-11,461091,0.05500512978490816,316.4048942482408,,WXT J210537-055211,source,['known_source'],
Unverified,Unverified,,5.662063612616906,1.4453742000000001e-11,362261,0.04961371502997523,211.46285265274807,,WXT J140551+053943,source,['known_source'],
