"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"192586","AT 2025adio","10:41:28.458","-23:45:15.82","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ogf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.707","orange-ATLAS","2025-11-12 14:34:49.728","ATLAS_Bot1","","","2025TNSTR4570....1T","","",""
"192585","AT 2025adin","02:04:05.601","-51:38:11.71","","","","","GOTO","GOTO","","GOTO","GOTO25jyv","GOTO-S - GOTO-4","","1","1","","20.2","L-GOTO","2025-11-14 10:36:04.608","GOTO_bot","","","2025TNSTR4575....1O","","",""
"192584","SN 2025adim","01:22:08.799","-44:24:37.56","SN Ia","0.091","","","GOTO","GOTO","STEP","GOTO","GOTO25jyt","GOTO-S - GOTO-3, GOTO-S - GOTO-4","SOAR - Goodman","1","1","","19.99","L-GOTO","2025-11-14 10:27:19.296","GOTO_bot","","","2025TNSTR4578....1A","2025TNSCR4628....1K","",""
"192583","AT 2025adil","00:19:56.598","-42:50:55.87","","","","","GOTO, ATLAS","GOTO, ATLAS","","ATLAS, GOTO","GOTO25jyu","ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","20.12","L-GOTO","2025-11-14 10:13:07.392","GOTO_bot","","","2025TNSTR4578....1A","","",""
"192582","AT 2025adik","10:42:19.786","-75:21:11.15","","","","","GOTO, ATLAS","GOTO, ATLAS","","ATLAS, GOTO","GOTO25jyi","ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","18.54","L-GOTO","2025-11-12 16:54:58.176","GOTO_bot","","","2025TNSTR4578....1A","","",""
"192581","AT 2025adij","22:38:24.740","-04:55:49.58","","","","","ATLAS, LAST, GOTO","ATLAS, LAST, GOTO","","ATLAS, GOTO, LAST","ATLAS25ogd","ATLAS-STH - ATLAS-03, ATLAS-TDO - ATLAS-05, GOTO-N - GOTO-1, GOTO-N - GOTO-2, LAST - LAST-Cam","","1","1","","17.348","wide-ATLAS","2025-11-10 20:43:48.000","ATLAS_Bot1","","","2025TNSTR4570....1T","","",""
"192580","AT 2025adii","03:07:55.723","-42:39:44.15","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ogc","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.444","orange-ATLAS","2025-11-13 22:12:23.328","ATLAS_Bot1","","","2025TNSTR4570....1T","","",""
"192579","AT 2025adih","04:27:08.705","-34:55:22.55","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ogb","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03","","1","1","","18.616","orange-ATLAS","2025-11-09 22:16:38.208","ATLAS_Bot1","","","2025TNSTR4570....1T","","",""
"192578","AT 2025adig","04:30:10.386","-40:13:51.98","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25ofz","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.988","cyan-ATLAS","2025-11-12 04:46:01.632","ATLAS_Bot1","","","2025TNSTR4570....1T","","",""
"192577","AT 2025adif","04:43:32.566","+11:21:34.16","","","","","ZTF","ZTF","","ZTF","ZTF25aceddye","P48 - ZTF-Cam","","1","1","","20.5667","r-ZTF","2025-11-01 09:39:23.999","Fritz","","","2025TNSTR4581....1S","","",""
